Time, Aircraft mass
 123.082767, 19495.372310
 123.084434, 19495.358937
 123.086101, 19495.345563
 123.087767, 19495.332190
 123.089434, 19495.318817
 123.091101, 19495.305443
 123.092767, 19495.292068
 123.094434, 19495.278693
 123.096101, 19495.265318
 123.097767, 19495.251943
 123.099434, 19495.238567
 123.101101, 19495.225192
 123.102767, 19495.211817
 123.104434, 19495.198441
 123.106101, 19495.185066
 123.107767, 19495.171691
 123.109434, 19495.158314
 123.111101, 19495.144936
 123.112767, 19495.131559
 123.114434, 19495.118182
 123.116101, 19495.104804
 123.117767, 19495.091427
 123.119434, 19495.078050
 123.121101, 19495.064672
 123.122767, 19495.051295
 123.124434, 19495.037918
 123.126101, 19495.024539
 123.127767, 19495.011159
 123.129434, 19494.997780
 123.131101, 19494.984400
 123.132767, 19494.971021
 123.134434, 19494.957642
 123.136101, 19494.944262
 123.137767, 19494.930883
 123.139434, 19494.917504
 123.141101, 19494.904124
 123.142767, 19494.890743
 123.144434, 19494.877362
 123.146101, 19494.863980
 123.147767, 19494.850599
 123.149434, 19494.837217
 123.151101, 19494.823836
 123.152767, 19494.810455
 123.154434, 19494.797073
 123.156101, 19494.783692
 123.157767, 19494.770310
 123.159434, 19494.756927
 123.161101, 19494.743544
 123.162767, 19494.730160
 123.164434, 19494.716777
 123.166101, 19494.703393
 123.167767, 19494.690010
 123.169434, 19494.676627
 123.171101, 19494.663243
 123.172767, 19494.649860
 123.174434, 19494.636476
 123.176101, 19494.623091
 123.177767, 19494.609706
 123.179434, 19494.596320
 123.181101, 19494.582935
 123.182767, 19494.569549
 123.184434, 19494.556164
 123.186101, 19494.542778
 123.187767, 19494.529393
 123.189434, 19494.516007
 123.191101, 19494.502622
 123.192767, 19494.489234
 123.194434, 19494.475847
 123.196101, 19494.462459
 123.197767, 19494.449072
 123.199434, 19494.435684
 123.201101, 19494.422297
 123.202767, 19494.408909
 123.204434, 19494.395522
 123.206101, 19494.382134
 123.207767, 19494.368747
 123.209434, 19494.355357
 123.211101, 19494.341968
 123.212767, 19494.328578
 123.214434, 19494.315189
 123.216101, 19494.301799
 123.217767, 19494.288410
 123.219434, 19494.275020
 123.221101, 19494.261631
 123.222767, 19494.248241
 123.224434, 19494.234852
 123.226101, 19494.221460
 123.227767, 19494.208069
 123.229434, 19494.194677
 123.231101, 19494.181285
 123.232767, 19494.167894
 123.234434, 19494.154502
 123.236101, 19494.141111
 123.237767, 19494.127719
 123.239434, 19494.114328
 123.241101, 19494.100936
 123.242767, 19494.087543
 123.244434, 19494.074149
 123.246101, 19494.060755
 123.247767, 19494.047362
 123.249434, 19494.033968
 123.251101, 19494.020574
 123.252767, 19494.007181
 123.254434, 19493.993787
 123.256101, 19493.980394
 123.257767, 19493.967000
 123.259434, 19493.953605
 123.261101, 19493.940209
 123.262767, 19493.926813
 123.264434, 19493.913418
 123.266101, 19493.900022
 123.267767, 19493.886626
 123.269434, 19493.873231
 123.271101, 19493.859835
 123.272767, 19493.846439
 123.274434, 19493.833044
 123.276101, 19493.819646
 123.277767, 19493.806249
 123.279434, 19493.792851
 123.281101, 19493.779454
 123.282767, 19493.766056
 123.284434, 19493.752658
 123.286101, 19493.739261
 123.287767, 19493.725863
 123.289434, 19493.712465
 123.291101, 19493.699068
 123.292767, 19493.685668
 123.294434, 19493.672269
 123.296101, 19493.658869
 123.297767, 19493.645469
 123.299434, 19493.632070
 123.301101, 19493.618670
 123.302767, 19493.605271
 123.304434, 19493.591871
 123.306101, 19493.578471
 123.307767, 19493.565072
 123.309434, 19493.551670
 123.311101, 19493.538269
 123.312767, 19493.524867
 123.314434, 19493.511466
 123.316101, 19493.498064
 123.317767, 19493.484662
 123.319434, 19493.471261
 123.321101, 19493.457859
 123.322767, 19493.444457
 123.324434, 19493.431056
 123.326101, 19493.417652
 123.327767, 19493.404249
